model,rmse,mae,r2,mape
LinearRegression,3.5530711163985953e-12,2.7422904765031935e-12,1.0,3.029026997194884e-14
Lasso,0.9335761115591507,0.7504764628810934,0.9999999371244281,0.01254581567359237
ExtraTrees,13.907372010148196,7.845550284629977,0.9999860468381924,0.13423033499267598
RandomForest,14.642075640560126,7.8628779253637235,0.9999845336519535,0.17186515218498133
Ridge,18.42253668766957,15.112727797760583,0.9999755160577152,0.1919307324586105
XGBoost,42.39813447123146,30.85093116760254,0.9998703002929688,0.465413141276359
GradientBoosting,44.39196043922064,32.874826414448606,0.9998578355083338,0.42849427564784387
ElasticNet,494.29449096937947,375.98825656876255,0.9823739893873705,7.140715351275492
