model,rmse,mae,r2,mape
XGBoost,309.94364407098266,245.79803466796875,0.9937381148338318,3.20315996286774
ExtraTrees,326.3451130818389,256.38729640151513,0.9930578289006279,2.691280442076119
RandomForest,375.87821968351597,294.6335984848485,0.9907905136543562,3.1165814746096454
Lasso,378.0991833827128,311.41619931292246,0.9906813593474647,4.876722534539691
LinearRegression,378.69608665285466,312.0147416826121,0.9906519135410083,4.911932548176087
Ridge,378.85073805410036,312.2373842909966,0.9906442768639143,4.951593835097321
GradientBoosting,378.8664017778339,307.68078174058996,0.990643503216262,3.718967192352672
ElasticNet,1035.75903937298,794.0640938875729,0.9300708015341617,20.953365825687165
